Date_ID,Date_Value,Day,Month,Month_Name,Year,Day_Of_Week
1,2025-01-08,8,1,January,2025,Wednesday
2,2025-04-08,8,4,April,2025,Tuesday
3,2025-07-06,6,7,July,2025,Sunday
4,2025-03-24,24,3,March,2025,Monday
5,2025-04-12,12,4,April,2025,Saturday
6,2025-04-07,7,4,April,2025,Monday
7,2025-08-03,3,8,August,2025,Sunday
8,2025-03-23,23,3,March,2025,Sunday
9,2025-04-29,29,4,April,2025,Tuesday
10,2025-06-17,17,6,June,2025,Tuesday
11,2025-05-15,15,5,May,2025,Thursday
12,2025-04-05,5,4,April,2025,Saturday
13,2025-03-01,1,3,March,2025,Saturday
14,2025-03-31,31,3,March,2025,Monday
15,2025-01-01,1,1,January,2025,Wednesday
16,2025-06-12,12,6,June,2025,Thursday
17,2025-06-13,13,6,June,2025,Friday
18,2025-03-12,12,3,March,2025,Wednesday
19,2025-07-10,10,7,July,2025,Thursday
20,2025-06-09,9,6,June,2025,Monday
21,2025-04-14,14,4,April,2025,Monday
22,2025-07-11,11,7,July,2025,Friday
23,2025-01-02,2,1,January,2025,Thursday
24,2025-05-27,27,5,May,2025,Tuesday
25,2025-08-09,9,8,August,2025,Saturday
26,2025-04-10,10,4,April,2025,Thursday
27,2025-07-08,8,7,July,2025,Tuesday
28,2025-04-27,27,4,April,2025,Sunday
29,2025-05-03,3,5,May,2025,Saturday
30,2025-08-11,11,8,August,2025,Monday
31,2025-01-27,27,1,January,2025,Monday
32,2025-03-29,29,3,March,2025,Saturday
33,2025-05-13,13,5,May,2025,Tuesday
34,2025-07-27,27,7,July,2025,Sunday
35,2025-05-22,22,5,May,2025,Thursday
36,2025-04-09,9,4,April,2025,Wednesday
37,2025-02-12,12,2,February,2025,Wednesday
38,2025-04-30,30,4,April,2025,Wednesday
39,2025-02-21,21,2,February,2025,Friday
40,2025-08-10,10,8,August,2025,Sunday
41,2025-05-11,11,5,May,2025,Sunday
42,2025-01-28,28,1,January,2025,Tuesday
43,2025-04-13,13,4,April,2025,Sunday
44,2025-03-06,6,3,March,2025,Thursday
45,2025-05-05,5,5,May,2025,Monday
46,2025-06-06,6,6,June,2025,Friday
47,2025-05-21,21,5,May,2025,Wednesday
48,2025-07-12,12,7,July,2025,Saturday
49,2025-06-05,5,6,June,2025,Thursday
50,2025-06-15,15,6,June,2025,Sunday
51,2025-02-15,15,2,February,2025,Saturday
52,2025-08-01,1,8,August,2025,Friday
53,2025-01-16,16,1,January,2025,Thursday
54,2025-02-02,2,2,February,2025,Sunday
55,2025-02-27,27,2,February,2025,Thursday
56,2025-05-16,16,5,May,2025,Friday
57,2025-03-07,7,3,March,2025,Friday
58,2025-07-30,30,7,July,2025,Wednesday
59,2025-03-02,2,3,March,2025,Sunday
60,2025-01-04,4,1,January,2025,Saturday
61,2025-05-04,4,5,May,2025,Sunday
62,2025-02-10,10,2,February,2025,Monday
63,2025-05-26,26,5,May,2025,Monday
64,2025-02-05,5,2,February,2025,Wednesday
65,2025-05-19,19,5,May,2025,Monday
66,2025-05-01,1,5,May,2025,Thursday
67,2025-03-14,14,3,March,2025,Friday
68,2025-04-03,3,4,April,2025,Thursday
69,2025-02-11,11,2,February,2025,Tuesday
70,2025-07-20,20,7,July,2025,Sunday
71,2025-07-28,28,7,July,2025,Monday
72,2025-07-14,14,7,July,2025,Monday
73,2025-06-25,25,6,June,2025,Wednesday
74,2025-01-10,10,1,January,2025,Friday
75,2025-06-20,20,6,June,2025,Friday
76,2025-06-27,27,6,June,2025,Friday
77,2025-01-21,21,1,January,2025,Tuesday
78,2025-04-22,22,4,April,2025,Tuesday
79,2025-07-18,18,7,July,2025,Friday
80,2025-07-03,3,7,July,2025,Thursday
81,2025-02-01,1,2,February,2025,Saturday
82,2025-08-07,7,8,August,2025,Thursday
83,2025-03-11,11,3,March,2025,Tuesday
84,2025-04-04,4,4,April,2025,Friday
85,2025-07-16,16,7,July,2025,Wednesday
86,2025-06-08,8,6,June,2025,Sunday
87,2025-03-04,4,3,March,2025,Tuesday
88,2025-04-24,24,4,April,2025,Thursday
89,2025-01-13,13,1,January,2025,Monday
90,2025-06-11,11,6,June,2025,Wednesday
91,2025-02-28,28,2,February,2025,Friday
92,2025-06-10,10,6,June,2025,Tuesday
93,2025-04-18,18,4,April,2025,Friday
94,2025-03-21,21,3,March,2025,Friday
95,2025-06-07,7,6,June,2025,Saturday
96,2025-03-10,10,3,March,2025,Monday
97,2025-06-21,21,6,June,2025,Saturday
98,2025-07-05,5,7,July,2025,Saturday
99,2025-02-04,4,2,February,2025,Tuesday
100,2025-04-06,6,4,April,2025,Sunday
101,2025-08-13,13,8,August,2025,Wednesday
102,2025-02-03,3,2,February,2025,Monday
103,2025-04-16,16,4,April,2025,Wednesday
104,2025-03-08,8,3,March,2025,Saturday
105,2025-03-05,5,3,March,2025,Wednesday
106,2025-07-24,24,7,July,2025,Thursday
107,2025-01-11,11,1,January,2025,Saturday
