Sales_ID,Order_ID,Date_ID,Product_ID,Customer_ID,Payment_ID,Quantity,Unit_Price,Sales_Amount
1,1055,1,1,1,1,5,3.97,19.85
2,1057,2,2,2,2,5,5.12,25.6
3,1066,3,3,3,3,2,22.97,45.94
4,1084,4,4,4,1,4,22.41,89.64
5,1088,5,1,5,4,1,14.82,14.82
6,1177,6,2,6,4,5,2.44,12.2
7,1202,7,5,7,2,2,8.54,17.08
8,1239,8,3,8,4,3,17.61,52.83
9,1239,9,4,8,1,1,19.62,19.62
10,1270,10,6,9,4,2,4.1,8.2
11,1272,11,5,10,1,5,2.2,11.0
12,1278,12,7,11,4,3,8.7,26.1
13,1239,13,8,8,1,3,16.3,48.9
14,1326,14,4,12,1,3,21.3,63.9
15,1329,15,8,13,4,1,20.63,20.63
16,1383,16,9,14,1,2,23.5,47.0
17,1388,17,9,15,4,4,22.78,91.12
18,1402,18,6,16,2,4,15.75,63.0
19,1402,19,1,16,3,3,24.52,73.56
20,1430,20,2,17,2,1,17.38,17.38
21,1402,21,6,16,3,5,7.94,39.7
22,1486,22,3,18,3,3,15.77,47.31
23,1402,23,1,16,4,4,10.0,40.0
24,1496,24,3,19,2,5,20.81,104.05
25,1402,25,1,20,1,2,18.86,37.72
26,1510,26,3,21,3,5,7.5,37.5
27,1510,27,7,21,2,2,18.47,36.94
28,1587,5,6,22,2,5,7.39,36.95
29,1510,28,9,23,4,5,19.21,96.05
30,1616,29,9,24,2,2,16.45,32.9
31,1681,30,5,25,3,2,14.85,29.7
32,1684,31,9,26,3,3,5.18,15.54
33,1708,9,8,27,1,1,8.13,8.13
34,1770,32,6,28,1,1,20.5,20.5
35,1792,33,1,29,3,4,7.15,28.6
36,1812,34,8,30,4,4,22.68,90.72
37,1815,35,6,31,1,1,16.84,16.84
38,1812,36,6,30,4,3,21.93,65.79
39,1868,37,4,32,2,4,11.07,44.28
40,1812,38,4,30,3,2,24.7,49.4
41,1909,39,2,33,2,4,16.89,67.56
42,1909,40,8,33,2,1,7.43,7.43
43,1812,9,4,30,1,1,12.15,12.15
44,1955,41,9,34,1,2,8.64,17.28
45,1909,42,2,33,4,3,9.86,29.58
46,2013,43,8,35,3,4,9.02,36.08
47,2035,44,5,36,2,5,12.83,64.15
48,2047,45,1,37,2,2,4.24,8.48
49,2065,23,8,38,1,4,19.86,79.44
50,2085,46,7,39,3,5,6.46,32.3
51,2110,47,2,40,4,1,20.0,20.0
52,2121,10,8,41,1,1,22.48,22.48
53,2141,10,4,42,3,3,23.69,71.07
54,2144,19,9,43,4,5,13.65,68.25
55,2151,48,7,44,4,4,4.45,17.8
56,2187,49,7,45,4,2,12.43,24.86
57,2227,13,6,46,1,1,11.66,11.66
58,2229,50,8,47,4,1,17.97,17.97
59,2233,51,9,48,4,3,17.26,51.78
60,2234,52,6,49,3,3,21.28,63.84
61,2261,53,2,50,4,2,12.87,25.74
62,2268,54,5,51,4,5,16.52,82.6
63,2279,55,4,52,2,3,14.58,43.74
64,2318,18,2,53,3,5,13.95,69.75
65,2330,56,1,54,1,1,10.11,10.11
66,2342,57,5,55,3,4,18.54,74.16
67,2354,58,3,56,4,2,22.82,45.64
68,2365,59,9,57,2,4,16.17,64.68
69,2365,60,7,57,3,1,9.02,9.02
70,2430,61,9,58,3,1,10.69,10.69
71,2365,51,4,57,2,1,5.37,5.37
72,2447,62,6,59,3,2,10.24,20.48
73,2458,42,8,60,1,2,18.83,37.66
74,2513,63,4,61,1,1,3.89,3.89
75,2535,37,5,62,1,2,4.9,9.8
76,2578,64,2,63,4,1,24.64,24.64
77,2598,65,9,64,4,3,2.26,6.78
78,2647,66,3,65,3,4,21.58,86.32
79,2651,67,2,66,1,3,24.99,74.97
80,2660,68,8,67,2,3,14.93,44.79
81,2682,64,4,68,1,2,2.64,5.28
82,2710,49,5,69,2,3,15.26,45.78
83,2723,69,2,70,1,5,12.25,61.25
84,2740,70,2,71,1,4,20.47,81.88
85,2754,71,9,72,4,3,6.01,18.03
86,2780,72,3,73,2,3,8.6,25.8
87,2785,65,5,74,1,4,23.84,95.36
88,2795,38,1,75,4,1,4.6,4.6
89,2799,73,1,76,4,1,13.62,13.62
90,2814,74,4,77,3,1,8.5,8.5
91,2834,75,2,78,2,3,8.31,24.93
92,2838,34,4,79,3,4,17.14,68.56
93,2842,76,4,80,2,4,18.08,72.32
94,2849,77,6,81,4,1,7.33,7.33
95,2857,78,7,82,3,4,4.72,18.88
96,2859,32,2,83,4,5,23.02,115.1
97,2891,79,3,84,3,1,19.41,19.41
98,2894,18,1,85,1,2,18.21,36.42
99,2902,80,6,86,2,4,20.26,81.04
100,2910,54,2,87,1,2,17.97,35.94
101,2933,58,3,88,2,3,20.78,62.34
102,2945,81,4,89,4,5,13.3,66.5
103,2951,82,3,90,2,3,22.14,66.42
104,2966,30,1,91,2,2,8.85,17.7
105,3007,83,1,92,1,5,10.42,52.1
106,3017,84,1,93,3,1,14.93,14.93
107,3025,85,6,94,2,4,14.35,57.4
108,3082,86,6,95,3,4,17.27,69.08
109,3160,87,5,96,2,1,3.37,3.37
110,3162,51,7,97,2,5,21.15,105.75
111,3164,61,1,98,3,3,14.01,42.03
112,3172,54,9,99,1,1,4.57,4.57
113,3174,79,9,100,4,4,19.48,77.92
114,3188,88,2,101,3,4,11.67,46.68
115,3193,89,8,102,1,4,14.15,56.6
116,3217,90,6,103,3,4,9.4,37.6
117,3244,91,8,104,2,5,2.35,11.75
118,3257,92,6,105,1,5,12.07,60.35
119,3280,93,1,106,4,4,2.06,8.24
120,3293,94,8,107,2,5,6.91,34.55
121,3304,95,5,108,1,5,24.02,120.1
122,3308,96,4,109,4,4,8.66,34.64
123,3312,29,3,110,1,2,21.63,43.26
124,3327,97,3,111,2,1,19.11,19.11
125,3339,79,5,112,1,3,20.01,60.03
126,3343,98,4,113,4,2,3.76,7.52
127,3356,49,3,114,3,4,12.8,51.2
128,3402,99,5,115,4,2,21.07,42.14
129,3502,27,1,116,2,3,23.47,70.41
130,3517,100,9,117,4,2,19.52,39.04
131,3546,101,1,118,2,5,3.44,17.2
132,3565,102,6,119,4,3,12.74,38.22
133,3605,103,6,120,1,1,4.58,4.58
134,3609,104,7,121,4,2,15.5,31.0
135,3639,105,1,122,4,1,9.7,9.7
136,3640,106,5,123,1,5,14.17,70.85
137,3652,96,7,124,2,5,21.85,109.25
138,3655,107,3,125,3,1,6.07,6.07
