antecedents,consequents,support,confidence,lift
"Brownie, Pizza",Burger,0.002061855670103093,1.0,9.509803921568627
"Fries, Pizza",Burger,0.002061855670103093,1.0,9.509803921568627
"Fries, Salad",Cake,0.002061855670103093,1.0,9.150943396226415
"Pizza, Salad",Cake,0.002061855670103093,1.0,9.150943396226415
"Cake, Pizza",Salad,0.002061855670103093,1.0,8.818181818181818
"Cake, Fries",Salad,0.002061855670103093,1.0,8.818181818181818
"Brownie, Burger",Pizza,0.002061855670103093,1.0,7.2388059701492535
"Burger, Fries",Pizza,0.002061855670103093,1.0,7.2388059701492535
"Cake, Salad",Fries,0.002061855670103093,0.5,4.041666666666666
"Burger, Pizza",Fries,0.002061855670103093,0.5,4.041666666666666
"Burger, Pizza",Brownie,0.002061855670103093,0.5,3.9112903225806455
"Cake, Salad",Pizza,0.002061855670103093,0.5,3.6194029850746268
